Date,Open,High,Low,Close,Adj Close,Volume
2021-08-09,433056.0,434298.0,430486.0,431881.0,431881.0,1600
2021-08-10,432690.0,435000.0,430470.0,434610.0,434610.0,1200
2021-08-11,434655.0,439163.0,434655.0,438160.0,438160.0,1300
2021-08-12,439121.0,439800.0,434846.0,436545.0,436545.0,1100
2021-08-13,437935.0,437935.0,432057.0,433124.0,433124.0,1200
2021-08-16,432443.0,435657.0,429462.0,435370.0,435370.0,1300
2021-08-17,434530.0,437551.0,433136.0,435610.0,435610.0,1000
2021-08-18,435175.0,436825.0,430651.0,430651.0,430651.0,900
2021-08-19,428190.0,431976.0,427590.0,428994.0,428994.0,1100
2021-08-20,429605.0,430543.0,427862.0,430007.0,430007.0,800
2021-08-23,432025.0,432528.0,425000.0,425000.0,425000.0,1000
2021-08-24,430686.0,431800.0,428000.0,430700.0,430700.0,900
2021-08-25,431705.0,434423.0,429585.0,432354.0,432354.0,800
2021-08-26,433588.0,433708.0,428957.0,429715.0,429715.0,900
2021-08-27,429873.0,431500.0,429332.0,430901.0,430901.0,700
2021-08-30,431060.0,431949.0,429134.0,429720.0,429720.0,1000
2021-08-31,429405.0,431000.0,428706.0,429900.0,429900.0,1000
2021-09-01,431181.0,433720.0,429000.0,430000.0,430000.0,1000
2021-09-02,429606.0,431317.0,428000.0,428640.0,428640.0,1000
2021-09-03,428825.0,428825.0,424201.0,424201.0,424201.0,1400
2021-09-07,424688.0,428103.0,419500.0,419851.0,419851.0,1800
2021-09-08,419733.0,421456.0,417925.0,420719.0,420719.0,1100
2021-09-09,420270.0,421490.0,419136.0,420285.0,420285.0,1000
2021-09-10,421028.0,421291.0,417942.0,417954.0,417954.0,900
2021-09-13,418510.0,422523.0,417687.0,420801.0,420801.0,1300
2021-09-14,422300.0,422500.0,416050.0,416996.0,416996.0,1500
2021-09-15,417358.0,419998.0,416629.0,419785.0,419785.0,900
2021-09-16,420170.0,420800.0,416215.0,419120.0,419120.0,800
2021-09-17,418705.0,421124.0,415000.0,416400.0,416400.0,1600
2021-09-20,411704.0,416000.0,409000.0,416000.0,416000.0,1800
2021-09-21,416571.0,416571.0,411281.0,412802.0,412802.0,1400
2021-09-22,415671.0,416762.0,411920.0,412081.0,412081.0,900
2021-09-23,414298.0,420949.0,413700.0,418390.0,418390.0,1100
2021-09-24,418475.0,420090.0,417561.0,418101.0,418101.0,900
2021-09-27,419638.0,422203.0,418928.0,420791.0,420791.0,900
2021-09-28,419976.0,423225.0,415395.0,416580.0,416580.0,1000
2021-09-29,417200.0,419719.0,415301.0,417165.0,417165.0,800
2021-09-30,419311.0,419735.0,411005.0,411379.0,411379.0,1300
2021-10-01,412915.0,417653.0,410099.0,414878.0,414878.0,1000
2021-10-04,415146.0,416804.0,411286.0,412540.0,412540.0,1400
2021-10-05,413313.0,420959.0,411659.0,418539.0,418539.0,900
2021-10-06,416406.0,421900.0,413662.0,421900.0,421900.0,1100
2021-10-07,424999.0,428655.0,423516.0,425431.0,425431.0,1200
2021-10-08,425643.0,428479.0,424000.0,427765.0,427765.0,1300
2021-10-11,427172.0,429786.0,423000.0,423000.0,423000.0,1600
2021-10-12,423252.0,424859.0,419000.0,419596.0,419596.0,1100
2021-10-13,417906.0,422180.0,415265.0,418402.0,418402.0,1200
2021-10-14,420866.0,427379.0,420750.0,423648.0,423648.0,1200
2021-10-15,429300.0,429300.0,424945.0,427701.0,427701.0,1200
2021-10-18,428950.0,428950.0,424001.0,426189.0,426189.0,1500
2021-10-19,429335.0,429500.0,425841.0,428105.0,428105.0,1300
2021-10-20,428113.0,433000.0,426111.0,432495.0,432495.0,1700
2021-10-21,432689.0,434800.0,429436.0,431680.0,431680.0,1400
2021-10-22,431720.0,436203.0,429715.0,435722.0,435722.0,1500
2021-10-25,435963.0,437145.0,433064.0,436401.0,436401.0,1800
2021-10-26,437165.0,439850.0,435446.0,437890.0,437890.0,1900
2021-10-27,437527.0,439229.0,433050.0,433050.0,433050.0,3200
2021-10-28,434703.0,436874.0,432516.0,436250.0,436250.0,2400
2021-10-29,435053.0,436512.0,431714.0,432902.0,432902.0,2100
2021-11-01,434513.0,435900.0,430522.0,430944.0,430944.0,2300
2021-11-02,434440.0,434654.0,429800.0,434245.0,434245.0,1700
2021-11-03,433425.0,435140.0,431164.0,435020.0,435020.0,1400
2021-11-04,436463.0,438299.0,429880.0,433102.0,433102.0,2000
2021-11-05,434887.0,437749.0,432114.0,434000.0,434000.0,1700
2021-11-08,439649.0,445000.0,434752.0,435200.0,435200.0,2800
2021-11-09,435345.0,437240.0,430099.0,431680.0,431680.0,2100
2021-11-10,431420.0,433409.0,428940.0,430602.0,430602.0,1700
2021-11-11,431800.0,434399.0,428694.0,429202.0,429202.0,1400
2021-11-12,432614.0,432899.0,427664.0,431575.0,431575.0,1200
2021-11-15,432193.0,434335.0,429079.0,429302.0,429302.0,1800
2021-11-16,429638.0,431849.0,427120.0,427702.0,427702.0,1500
2021-11-17,427651.0,429710.0,424201.0,426198.0,426198.0,1800
2021-11-18,428429.0,428429.0,422223.0,422702.0,422702.0,1600
2021-11-19,422901.0,424300.0,420000.0,423374.0,423374.0,1600
2021-11-22,425225.0,432000.0,422535.0,430100.0,430100.0,1900
2021-11-23,432837.0,435365.0,430100.0,434921.0,434921.0,2400
2021-11-24,434643.0,437139.0,431497.0,433333.0,433333.0,1500
2021-11-26,424233.0,429803.0,421091.0,427833.0,427833.0,1600
2021-11-29,429048.0,432135.0,425000.0,425260.0,425260.0,1900
2021-11-30,423823.0,426125.0,416546.0,416876.0,416876.0,1900
2021-12-01,421535.0,424669.0,415000.0,415660.0,415660.0,2000
2021-12-02,417776.0,422999.0,415526.0,420566.0,420566.0,1200
2021-12-03,421420.0,426000.0,416100.0,418676.0,418676.0,1700
2021-12-06,423201.0,428000.0,420000.0,426200.0,426200.0,1700
2021-12-07,430739.0,431679.0,426200.0,429830.0,429830.0,1300
2021-12-08,430115.0,432745.0,426000.0,427405.0,427405.0,1200
2021-12-09,428933.0,430650.0,425414.0,428402.0,428402.0,1300
2021-12-10,431254.0,435000.0,428402.0,435000.0,435000.0,1600
2021-12-13,435861.0,439700.0,430932.0,437730.0,437730.0,2100
2021-12-14,436865.0,446724.0,434981.0,446104.0,446104.0,2200
2021-12-15,445928.0,447794.0,441611.0,443702.0,443702.0,2500
2021-12-16,447540.0,454550.0,444655.0,454550.0,454550.0,2200
2021-12-17,448850.0,449949.0,441200.0,443304.0,443304.0,2300
2021-12-20,438290.0,439949.0,434055.0,437445.0,437445.0,1800
2021-12-21,441315.0,445379.0,439385.0,443000.0,443000.0,1300
2021-12-22,441460.0,444588.0,440300.0,444588.0,444588.0,1200
2021-12-23,445395.0,448250.0,443525.0,444654.0,444654.0,1500
2021-12-27,444205.0,447285.0,444020.0,447110.0,447110.0,2500
2021-12-28,447562.0,452244.0,446405.0,449570.0,449570.0,1500
2021-12-29,452370.0,453499.0,450655.0,452102.0,452102.0,1400
2021-12-30,453728.0,455000.0,452545.0,452700.0,452700.0,1600
2021-12-31,449945.0,455910.0,449945.0,450662.0,450662.0,1500
2022-01-03,452005.0,454800.0,451020.0,454300.0,454300.0,2700
2022-01-04,458675.0,466195.0,452376.0,465725.0,465725.0,2300
2022-01-05,468500.0,474181.0,466050.0,467274.0,467274.0,2200
2022-01-06,470900.0,473544.0,467236.0,473153.0,473153.0,1900
2022-01-07,474696.0,480888.0,472610.0,480000.0,480000.0,2400
2022-01-10,483800.0,483800.0,473373.0,477165.0,477165.0,2600
2022-01-11,479353.0,480935.0,473185.0,480340.0,480340.0,1700
2022-01-12,481190.0,483250.0,477094.0,481700.0,481700.0,1700
2022-01-13,482058.0,485800.0,481166.0,483872.0,483872.0,1800
2022-01-14,480280.0,486999.0,476336.0,485379.0,485379.0,2000
2022-01-18,484930.0,487255.0,477585.0,480081.0,480081.0,2800
2022-01-19,483000.0,484850.0,472560.0,473440.0,473440.0,1800
2022-01-20,473973.0,476625.0,466602.0,467390.0,467390.0,1800
2022-01-21,465040.0,466989.0,456623.0,458675.0,458675.0,2300
2022-01-24,449333.0,457999.0,445000.0,456901.0,456901.0,3700
2022-01-25,453012.0,464728.0,443402.0,461919.0,461919.0,2100
2022-01-26,466162.0,470770.0,460206.0,463652.0,463652.0,2000
2022-01-27,469000.0,473900.0,458201.0,461200.0,461200.0,1900
2022-01-28,462560.0,469880.0,456281.0,469880.0,469880.0,2000
2022-01-31,467665.0,470739.0,462151.0,469805.0,469805.0,2600
2022-02-01,469465.0,471888.0,465460.0,471184.0,471184.0,1900
2022-02-02,470620.0,480400.0,469001.0,479500.0,479500.0,1900
2022-02-03,478840.0,481029.0,472081.0,472536.0,472536.0,1600
2022-02-04,471990.0,476888.0,469101.0,473364.0,473364.0,2000
2022-02-07,474100.0,477350.0,468253.0,474900.0,474900.0,2000
2022-02-08,477670.0,484200.0,474112.0,482030.0,482030.0,1700
2022-02-09,485650.0,488400.0,482502.0,483900.0,483900.0,1800
